@relation weka-code-br-v6

@attribute '<Method is part of class that contains the name servlet>' {true,false}
@attribute '<Implicit method>' {true,false}
@attribute '<Method name contains read but not thread>' {true,false}
@attribute '<Method has parameters>' {true,false}
@attribute '<Method name contains getparameter>' {true,false}
@attribute '<Method is part of an anonymous class>' {true,false}
@attribute '<Method name contains redirect>' {true,false}
@attribute '<Method is part of class that contains the name response>' {true,false}
@attribute '<Parameter type contains url>' {true,false}
@attribute '<Method is part of class that contains the name url>' {true,false}
@attribute '<Method is part of class that contains the name redirect>' {true,false}
@attribute '<Method is part of class that contains the name web>' {true,false}
@attribute '<Method is part of class that contains the name http>' {true,false}
@attribute '<Method name contains send>' {true,false}
@attribute '<Method is part of inner class>' {true,false}
@attribute '<Method name contains sendredirect>' {true,false}
@attribute '<Method is part of class that contains the name request>' {true,false}
@attribute CWE601 {0,1}

@data
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,1
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,0
false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,0
true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,0
false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,1
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,0
false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
